Date,Monthly Listeners
2021-12-01,47865
2021-12-02,47683
2021-12-03,47583
2021-12-04,47583
2021-12-05,47395
2021-12-06,47251
2021-12-07,47164
2021-12-08,47164
2021-12-09,46895
2021-12-10,46895
2021-12-11,46738
2021-12-12,46655
2021-12-13,46680
2021-12-14,46724
2021-12-15,46759
2021-12-16,46759
2021-12-17,46758
2021-12-18,46639
2021-12-19,46604
2021-12-20,46401
2021-12-21,46401
2021-12-22,46337
2021-12-23,46246
2021-12-24,46111
2021-12-25,46106
2021-12-26,45904
2021-12-27,45384
2021-12-28,45384
2021-12-29,45178
2021-12-30,45091
2021-12-31,44921
2022-01-01,44921
2022-01-02,44823
2022-01-03,44418
2022-01-04,44418
2022-01-05,44302
2022-01-06,44137
2022-01-07,44006
2022-01-08,43763
2022-01-09,43632
2022-01-10,43353
2022-01-11,43353
2022-01-12,43137
2022-01-13,42786
2022-01-14,42708
2022-01-15,42586
2022-01-16,42451
2022-01-17,42413
2022-01-18,42357
2022-01-19,42357
2022-01-20,42357
2022-01-21,42079
2022-01-22,41808
2022-01-23,41944
2022-01-24,41944
2022-01-25,41794
2022-01-26,41794
2022-01-27,41638
2022-01-28,41638
2022-01-29,41610
2022-01-30,41538
2022-01-31,41694
2022-02-01,41697
2022-02-02,41671
2022-02-03,41671
2022-02-04,41679
2022-02-05,41604
2022-02-06,41581
2022-02-07,41622
2022-02-08,41733
2022-02-09,41854
2022-02-10,41973
2022-02-11,42089
2022-02-12,42089
2022-02-13,42324
2022-02-14,42386
2022-02-15,42523
2022-02-16,42523
2022-02-17,42622
2022-02-18,42717
2022-02-19,42839
2022-02-20,43103
2022-02-21,43432
2022-02-22,43432
2022-02-23,43572
2022-02-24,43728
2022-02-25,43699
2022-02-26,43735
2022-02-27,43769
2022-02-28,43770
2022-03-01,43839
2022-03-02,43953
2022-03-03,44081
2022-03-04,44185
2022-03-05,44224
2022-03-06,44224
2022-03-07,44356
2022-03-08,44356
2022-03-09,44564
2022-03-10,44711
2022-03-11,44711
2022-03-12,44806
2022-03-13,44683
2022-03-14,44598
2022-03-15,44598
2022-03-16,44689
2022-03-17,44774
2022-03-18,44900
2022-03-19,44970
2022-03-20,44895
2022-03-21,44744
2022-03-22,44762
2022-03-23,44881
2022-03-24,44881
2022-03-25,44985
2022-03-26,45125
2022-03-27,45159
2022-03-28,45230
2022-03-29,45332
2022-03-30,45332
2022-03-31,45386
2022-04-01,45454
2022-04-02,45590
2022-04-03,45682
2022-04-04,45622
2022-04-05,45622
2022-04-06,45687
2022-04-07,45687
2022-04-08,45687
2022-04-09,45663
2022-04-10,45663
2022-04-11,45663
2022-04-12,45663
2022-04-13,45663
2022-04-14,45663
2022-04-15,45663
2022-04-16,45427
2022-04-17,45427
2022-04-18,45427
2022-04-19,45427
2022-04-20,45427
2022-04-21,45427
2022-04-22,45427
2022-04-23,45502
2022-04-24,45502
2022-04-25,45502
2022-04-26,45502
2022-04-27,45502
2022-04-28,45502
2022-04-29,45502
2022-04-30,44886
2022-05-01,44886
2022-05-02,44886
2022-05-03,44886
2022-05-04,44886
2022-05-05,44886
2022-05-06,44886
2022-05-07,44217
2022-05-08,44217
2022-05-09,44217
2022-05-10,44217
2022-05-11,44217
2022-05-12,44217
2022-05-13,44217
2022-05-14,43721
2022-05-15,43721
2022-05-16,43721
2022-05-17,43721
2022-05-18,43721
2022-05-19,43721
2022-05-20,43721
2022-05-21,43634
2022-05-22,43634
2022-05-23,43634
2022-05-24,43634
2022-05-25,43634
2022-05-26,43634
2022-05-27,43634
2022-05-28,43634
2022-05-29,44261
2022-05-30,44261
2022-05-31,44261
2022-06-01,44261
2022-06-02,44261
2022-06-03,44261
2022-06-04,44989
2022-06-05,44989
2022-06-06,44989
2022-06-07,44989
2022-06-08,44989
2022-06-09,44989
2022-06-10,44989
2022-06-11,45513
2022-06-12,45513
2022-06-13,45513
2022-06-14,45513
2022-06-15,45513
2022-06-16,45513
2022-06-17,45513
2022-06-18,45213
2022-06-19,45213
2022-06-20,45213
2022-06-21,45213
2022-06-22,45213
2022-06-23,45213
2022-06-24,45213
2022-06-25,44849
2022-06-26,44849
2022-06-27,44849
2022-06-28,44849
2022-06-29,44849
2022-06-30,44849
2022-07-01,44849
2022-07-02,44085
2022-07-03,44085
2022-07-04,44085
2022-07-05,44085
2022-07-06,44085
2022-07-07,44085
2022-07-08,44085
2022-07-09,44085
2022-07-10,43369
2022-07-11,43369
2022-07-12,43369
2022-07-13,43369
2022-07-14,43369
2022-07-15,43369
2022-07-16,43050
2022-07-17,43050
2022-07-18,43050
2022-07-19,43050
2022-07-20,43050
2022-07-21,43050
2022-07-22,43050
2022-07-23,42923
2022-07-24,42923
2022-07-25,42923
2022-07-26,42923
2022-07-27,42923
2022-07-28,42923
2022-07-29,42923
2022-07-30,43186
2022-07-31,43186
2022-08-01,43186
2022-08-02,43186
2022-08-03,43186
2022-08-04,43186
2022-08-05,43186
2022-08-06,44481
2022-08-07,44481
2022-08-08,44481
2022-08-09,44481
2022-08-10,44481
2022-08-11,44481
2022-08-12,44481
2022-08-13,44338
2022-08-14,44338
2022-08-15,44338
2022-08-16,44338
2022-08-17,44338
2022-08-18,44338
2022-08-19,44338
2022-08-20,44244
2022-08-21,44244
2022-08-22,44244
2022-08-23,44244
2022-08-24,44266
2022-08-25,44266
2022-08-26,44266
2022-08-27,44266
2022-08-28,44266
2022-08-29,44266
2022-08-30,44266
2022-08-31,43229
2022-09-01,43229
2022-09-02,43229
2022-09-03,43229
2022-09-04,43229
2022-09-05,43229
2022-09-06,43229
2022-09-07,42920
2022-09-08,42920
2022-09-09,42920
2022-09-10,42920
2022-09-11,42920
2022-09-12,42920
2022-09-13,42920
2022-09-14,42860
2022-09-15,42860
2022-09-16,42860
2022-09-17,42860
2022-09-18,42860
2022-09-19,42860
2022-09-20,42860
2022-09-21,42776
2022-09-22,42776
2022-09-23,42776
2022-09-24,42776
2022-09-25,42776
2022-09-26,42776
2022-09-27,42776
2022-09-28,42892
2022-09-29,42892
2022-09-30,42892
2022-10-01,42892
2022-10-02,42892
2022-10-03,42892
2022-10-04,42892
2022-10-05,43278
2022-10-06,43278
2022-10-07,43278
2022-10-08,43278
2022-10-09,43278
2022-10-10,43278
2022-10-11,43278
2022-10-12,43501
2022-10-13,43501
2022-10-14,43501
2022-10-15,43501
2022-10-16,43501
2022-10-17,43501
2022-10-18,43501
2022-10-19,43108
2022-10-20,43108
2022-10-21,43108
2022-10-22,43108
2022-10-23,43108
2022-10-24,43108
2022-10-25,43108
2022-10-26,43108
2022-10-27,42194
2022-10-28,42194
2022-10-29,42194
2022-10-30,42194
2022-10-31,42194
2022-11-01,42194
2022-11-02,45188
2022-11-03,45188
2022-11-04,45188
2022-11-05,45188
2022-11-06,45188
2022-11-07,45188
2022-11-08,45188
2022-11-09,45947
2022-11-10,45947
2022-11-11,45947
2022-11-12,45947
2022-11-13,45947
2022-11-14,45947
2022-11-15,45947
2022-11-16,46076
2022-11-17,46076
2022-11-18,46076
2022-11-19,46076
2022-11-20,46076
2022-11-21,46076
2022-11-22,46076
2022-11-23,46076
2022-11-24,46614
2022-11-25,46614
2022-11-26,46614
2022-11-27,46614
2022-11-28,46614
2022-11-29,46614
2022-11-30,44319
2022-12-01,44319
2022-12-02,44319
2022-12-03,44319
2022-12-04,44319
2022-12-05,44319
2022-12-06,44319
2022-12-07,44152
2022-12-08,44152
2022-12-09,44152
2022-12-10,44152
2022-12-11,44152
2022-12-12,44152
2022-12-13,44152
2022-12-14,44151
2022-12-15,44151
2022-12-16,44151
2022-12-17,44151
2022-12-18,44151
2022-12-19,44151
2022-12-20,44151
2022-12-21,44463
2022-12-22,44463
2022-12-23,44463
2022-12-24,44463
2022-12-25,44463
2022-12-26,44463
2022-12-27,44463
2022-12-28,44048
2022-12-29,44048
2022-12-30,44048
2022-12-31,44048
2023-01-01,44048
2023-01-02,44048
2023-01-03,44048
2023-01-04,44048
2023-01-05,43923
2023-01-06,43923
2023-01-07,43923
2023-01-08,43923
2023-01-09,43923
2023-01-10,43923
2023-01-11,45021
2023-01-12,45021
2023-01-13,45021
2023-01-14,45021
2023-01-15,45021
2023-01-16,45021
2023-01-17,45021
2023-01-18,46486
2023-01-19,46486
2023-01-20,46486
2023-01-21,46486
2023-01-22,46486
2023-01-23,46486
2023-01-24,46486
2023-01-25,48186
2023-01-26,48186
2023-01-27,48186
2023-01-28,48186
2023-01-29,48186
2023-01-30,48186
2023-01-31,48186
2023-02-01,48832
2023-02-02,48832
2023-02-03,48832
2023-02-04,48832
2023-02-05,48832
2023-02-06,48832
2023-02-07,48832
2023-02-08,50925
2023-02-09,50925
2023-02-10,50925
2023-02-11,50925
2023-02-12,50925
2023-02-13,50925
2023-02-14,50925
2023-02-15,52926
2023-02-16,52926
2023-02-17,52926
2023-02-18,52926
2023-02-19,52926
2023-02-20,52926
2023-02-21,52926
2023-02-22,55362
2023-02-23,55362
2023-02-24,55362
2023-02-25,55362
2023-02-26,55362
2023-02-27,55362
2023-02-28,55362
2023-03-01,56447
2023-03-02,56447
2023-03-03,56447
2023-03-04,56447
2023-03-05,56447
2023-03-06,56447
2023-03-07,56447
2023-03-08,55822
2023-03-09,55822
2023-03-10,55822
2023-03-11,55822
2023-03-12,55822
2023-03-13,55822
2023-03-14,55822
2023-03-15,54215
2023-03-16,54215
2023-03-17,54215
2023-03-18,54215
2023-03-19,54215
2023-03-20,54215
2023-03-21,54215
2023-03-22,50979
2023-03-23,50979
2023-03-24,50979
2023-03-25,50979
2023-03-26,50979
2023-03-27,50979
2023-03-28,50979
2023-03-29,49177
2023-03-30,49177
2023-03-31,49177
2023-04-01,49177
2023-04-02,49177
2023-04-03,49177
2023-04-04,49177
2023-04-05,47651
2023-04-06,47651
2023-04-07,47651
2023-04-08,47651
2023-04-09,47651
2023-04-10,47651
2023-04-11,47651
2023-04-12,47499
2023-04-13,47499
2023-04-14,47499
2023-04-15,47499
2023-04-16,47499
2023-04-17,47499
2023-04-18,47499
2023-04-19,47499
2023-04-20,47687
2023-04-21,47687
2023-04-22,47687
2023-04-23,47687
2023-04-24,47687
2023-04-25,47687
2023-04-26,47694
2023-04-27,47694
2023-04-28,47694
2023-04-29,47694
2023-04-30,47694
2023-05-01,47694
2023-05-02,47694
2023-05-03,48044
2023-05-04,48044
2023-05-05,48044
2023-05-06,48044
2023-05-07,48044
2023-05-08,48044
2023-05-09,48044
2023-05-10,47513
2023-05-11,47513
2023-05-12,47513
2023-05-13,47513
2023-05-14,47513
2023-05-15,47513
2023-05-16,47513
2023-05-17,47513
2023-05-18,46428
2023-05-19,46428
2023-05-20,46428
2023-05-21,46428
2023-05-22,46428
2023-05-23,46428
2023-05-24,46076
2023-05-25,46076
2023-05-26,46076
2023-05-27,46076
2023-05-28,46076
2023-05-29,46076
2023-05-30,46076
2023-05-31,46076
2023-06-01,45198
2023-06-02,45198
2023-06-03,45198
2023-06-04,45198
2023-06-05,45198
2023-06-06,45198
2023-06-07,45896
2023-06-08,45896
2023-06-09,45896
2023-06-10,45896
2023-06-11,45896
2023-06-12,45896
2023-06-13,45896
2023-06-14,46608
2023-06-15,46608
2023-06-16,46608
2023-06-17,46608
2023-06-18,46608
2023-06-19,46608
2023-06-20,46608
2023-06-21,46608
2023-06-22,47317
2023-06-23,47317
2023-06-24,47317
2023-06-25,47317
2023-06-26,47317
2023-06-27,47317
2023-06-28,48524
2023-06-29,48524
2023-06-30,48524
2023-07-01,48524
2023-07-02,48524
2023-07-03,48524
2023-07-04,48524
2023-07-05,48842
2023-07-06,48842
2023-07-07,48842
2023-07-08,48842
2023-07-09,48842
2023-07-10,48842
2023-07-11,48842
2023-07-12,48842
2023-07-13,48067
2023-07-14,48067
2023-07-15,48067
2023-07-16,48067
2023-07-17,48067
2023-07-18,48067
2023-07-19,48098
2023-07-20,48098
2023-07-21,48098
2023-07-22,48098
2023-07-23,48098
2023-07-24,48098
2023-07-25,48098
2023-07-26,47027
2023-07-27,47027
2023-07-28,47027
2023-07-29,47027
2023-07-30,47027
2023-07-31,47027
2023-08-01,47027
2023-08-02,45900
2023-08-03,45900
2023-08-04,45900
2023-08-05,45900
2023-08-06,45900
2023-08-07,45900
2023-08-08,45900
2023-08-09,46352
2023-08-10,46352
2023-08-11,46352
2023-08-12,46352
2023-08-13,46352
2023-08-14,46352
2023-08-15,46352
2023-08-16,46264
2023-08-17,46264
2023-08-18,46264
2023-08-19,46264
2023-08-20,46264
2023-08-21,46264
2023-08-22,46264
2023-08-23,46264
2023-08-24,46264
2023-08-25,47237
2023-08-26,47237
2023-08-27,47237
2023-08-28,47237
2023-08-29,47237
2023-08-30,47675
2023-08-31,47675
2023-09-01,47675
2023-09-02,47675
2023-09-03,47675
2023-09-04,47675
2023-09-05,47675
2023-09-06,47831
2023-09-07,47831
2023-09-08,47831
2023-09-09,47831
2023-09-10,47831
2023-09-11,47831
2023-09-12,47831
2023-09-13,48263
2023-09-14,48263
2023-09-15,48263
2023-09-16,48263
2023-09-17,48263
2023-09-18,48263
2023-09-19,48263
2023-09-20,48467
2023-09-21,48467
2023-09-22,48467
2023-09-23,48467
2023-09-24,48467
2023-09-25,48467
2023-09-26,48467
2023-09-27,50250
2023-09-28,50250
2023-09-29,50250
2023-09-30,50250
2023-10-01,50250
2023-10-02,50250
2023-10-03,50250
2023-10-04,50600
2023-10-05,50600
2023-10-06,50600
2023-10-07,50600
2023-10-08,50600
2023-10-09,50600
2023-10-10,50600
2023-10-11,50144
2023-10-12,50144
2023-10-13,50144
2023-10-14,50144
2023-10-15,50144
2023-10-16,50144
2023-10-17,50144
2023-10-18,49362
2023-10-19,49362
2023-10-20,49362
2023-10-21,49362
2023-10-22,49362
2023-10-23,49362
2023-10-24,49362
2023-10-25,49362
